ACT,SAT,AVERAGE_DEBT,REGION,,,,,,,,
26,1104,27000,1,,,,,,,,
18,962,25500,1,,,,,,,,
21,950,26040,2,,,,,,,,
23,1118,27000,2,,,,,,,,
27,1168,21500,2,,,,,,,,
33,1491,7500,2,,,,,,,,
22,1082,22500,2,,,,,,,,
22,1026,26174,2,,,,,,,,
25,1133,25000,2,,,,,,,,
31,1346,27532.5,2,,,,,,,,
22,1078,21500,2,,,,,,,,
27,1213,23250,2,,,,,,,,
20,935,15750,6,,,,,,,,
21,945,7577.5,6,,,,,,,,
27,1193,16006,6,,,,,,,,
22,1060,19576,6,,,,,,,,
21,984,18340,6,,,,,,,,
24,1092,25000,2,,,,,,,,
23,1064,27000,2,,,,,,,,
29,1343,16725,2,,,,,,,,
28,1195,27000,2,,,,,,,,
31,1369,16114.5,2,,,,,,,,
32,1470,23000,2,,,,,,,,
20,872,26000,2,,,,,,,,
27,1254,25000,2,,,,,,,,
25,1121,25500,2,,,,,,,,
19,914,26335,2,,,,,,,,
24,1071,26248.5,2,,,,,,,,
21,950,25499,2,,,,,,,,
25,1097,26000,2,,,,,,,,
22,1065,23000,2,,,,,,,,
20,840,25000,2,,,,,,,,
22,1011,25941.5,2,,,,,,,,
20,931,27000,2,,,,,,,,
21,958,22175,2,,,,,,,,
24,1117,24384,2,,,,,,,,
23,1040,25000,2,,,,,,,,
19,954,21000,2,,,,,,,,
13,1141,26691,2,,,,,,,,
23,1059,21946.5,2,,,,,,,,
23,1066,27000,2,,,,,,,,
27,1241,19500,2,,,,,,,,
25,1091,24980,2,,,,,,,,
23,982,14750,2,,,,,,,,
29,1254,19351,2,,,,,,,,
25,1099,17500,2,,,,,,,,
23,1056,21500,2,,,,,,,,
25,1122,19500,2,,,,,,,,
22,1031,22000,2,,,,,,,,
27,1184,27000,2,,,,,,,,
30,1403,16725,2,,,,,,,,
22,1053,27000,2,,,,,,,,
26,1221,19000,2,,,,,,,,
25,1148,20000,5,,,,,,,,
21,962,27000,5,,,,,,,,
21,1000,27000,5,,,,,,,,
23,970,15800,5,,,,,,,,
23,1025,23992.5,5,,,,,,,,
16,773,32000,5,,,,,,,,
34,1454,7500,5,,,,,,,,
22,1036,24360,5,,,,,,,,
18,866,26000,5,,,,,,,,
26,1225,23951,5,,,,,,,,
19,892,21278,5,,,,,,,,
22,1020,23988,5,,,,,,,,
18,876,26000,5,,,,,,,,
23,1096,23250,5,,,,,,,,
17,808,31142,5,,,,,,,,
15,720,41000,5,,,,,,,,
16,775,16000,5,,,,,,,,
20,924,27000,5,,,,,,,,
21,962,27000,5,,,,,,,,
20,902,27250,5,,,,,,,,
